ACC1X,ACC1Y,ACC1Z,GYR1X,GYR1Y,GYR1Z
0.09033203,-0.04248047,0.99414062,-2.56347656,0.24414062,0
0.08984375,-0.04296875,0.9921875,-2.07519531,0,0.85449219
0.10253906,-0.04931641,0.99121094,-1.28173828,0,0.85449219
0.10693359,-0.03369141,0.99072266,-0.67138672,-0.30517578,-0.36621094
0.08984375,-0.05126953,0.99511719,-0.67138672,-0.30517578,-0.36621094
0.10986328,-0.04345703,0.99902344,1.28173828,-1.03759766,-2.01416016
0.08691406,-0.03759766,0.99462891,1.28173828,-1.03759766,-2.01416016
0.10791016,-0.05419922,0.9921875,-0.73242188,-0.30517578,-4.33349609
0.13037109,-0.05517578,0.97851562,-0.73242188,-0.30517578,-4.33349609
0.30761719,-0.18066406,1.01757812,-3.47900391,-1.70898438,-10.19287109
0.09765625,-0.04931641,0.99609375,-3.47900391,-1.70898438,-10.19287109
-0.06103516,0.05908203,0.98242188,-2.25830078,0.36621094,-1.953125
-0.06884766,0.02441406,0.98242188,-2.25830078,0.36621094,-1.953125
0.08105469,-0.0390625,0.99414062,0.36621094,-0.36621094,-0.42724609
0.08105469,-0.0390625,0.99414062,0.36621094,-0.36621094,-0.42724609
0.09033203,-0.04345703,1.00097656,-1.58691406,0.12207031,-0.06103516
0.09033203,-0.04345703,1.00097656,-1.58691406,0.12207031,-0.06103516
0.09082031,-0.04492188,0.99414062,-1.46484375,-0.18310547,0
0.09082031,-0.04492188,0.99414062,-1.46484375,-0.18310547,0
0.09570312,-0.04101562,0.98828125,-1.15966797,-0.18310547,-0.18310547
0.09570312,-0.04101562,0.98828125,-1.15966797,-0.18310547,-0.18310547
0.10107422,-0.04882812,0.99316406,-0.42724609,1.28173828,-0.73242188
0.10107422,-0.04882812,0.99316406,-0.42724609,1.28173828,-0.73242188
0.10351562,-0.04248047,0.98779297,-1.70898438,6.40869141,-0.79345703
0.10351562,-0.04248047,0.98779297,-1.70898438,6.40869141,-0.79345703
0.09082031,-0.04882812,0.99462891,-2.38037109,9.03320312,-1.70898438
0.09082031,-0.04882812,0.99462891,-2.38037109,9.03320312,-1.70898438
0.08447266,-0.04541016,0.99414062,-2.19726562,10.19287109,-1.77001953
0.08447266,-0.04541016,0.99414062,-2.19726562,10.19287109,-1.77001953
0.23730469,-0.11230469,1.015625,-4.63867188,7.44628906,-5.24902344
0.23730469,-0.11230469,1.015625,-4.63867188,7.44628906,-5.24902344
0.03417969,-0.01953125,0.97412109,-2.50244141,7.50732422,-2.99072266
0.03417969,-0.01953125,0.97412109,-2.50244141,7.50732422,-2.99072266
0.0703125,-0.04345703,1.00195312,-1.34277344,7.32421875,-1.64794922
0.0703125,-0.04345703,1.00195312,-1.34277344,7.32421875,-1.64794922
0.12744141,-0.05078125,1.00146484,-0.48828125,6.10351562,-2.56347656
0.12744141,-0.05078125,1.00146484,-0.48828125,6.10351562,-2.56347656
0.06347656,-0.03759766,0.98730469,-0.48828125,5.49316406,-2.13623047
0.06347656,-0.03759766,0.98730469,-0.48828125,5.49316406,-2.13623047
0.10302734,-0.05126953,0.99951172,-0.67138672,6.10351562,-2.56347656
0.10302734,-0.05126953,0.99951172,-0.67138672,6.10351562,-2.56347656
0.1171875,-0.04003906,0.98486328,-1.70898438,5.98144531,-2.19726562
0.1171875,-0.04003906,0.98486328,-1.70898438,5.98144531,-2.19726562
0.01220703,-0.05224609,0.98535156,-1.89208984,6.95800781,-2.07519531
0.01220703,-0.05224609,0.98535156,-1.89208984,6.95800781,-2.07519531
0.07861328,-0.05126953,0.99560547,-0.73242188,7.01904297,-2.31933594
0.07861328,-0.05126953,0.99560547,-0.73242188,7.01904297,-2.31933594
0.06103516,-0.04833984,0.99462891,-0.30517578,6.59179688,-2.38037109
0.06103516,-0.04833984,0.99462891,-0.30517578,6.59179688,-2.38037109
0.08984375,-0.05126953,1,-1.22070312,6.95800781,-2.56347656
